bcsid,bd9totce,bd9hnvq,bd9ms,bd9partp,b9groa,b9cns8,b9ten,b9cmsex,hinvq00,wm1,wm2,wm3,wm4,wm5,c1,c2,c3,c4,b11sex,bd11nochh,bd1psoc,bd1mage,bd1agefb,bd1cntry,bd1regn,a0166,bd3read,bd3maths,bd3psoc,bd3inc,bd4read,bd4psoc,bd4mal,mathscore,y,d,sex_raw,female,soc_birth,soc_10,soc_16,mage,mage_fb,parity,birth_order,read_10_z,math_10_z,cog_10,vocab_16_z,math_16_z,cog_16,inc_10,malaise_16,m_trad_gender,m_profamily,m_earnings,m_log_earn,m_partner
B17181M,2,3,3,3,7000,6,2,2,3,4,4,3,3,4,4,2,4,4,2,1,4,22,22,1,5,0,-0.84,34,3,3,NA,3,-2,NA,2,3,2,1,2,3,3,22,22,0,1,-1.0171018135394676,-0.9633256714909757,-0.9902137425152217,NA,NA,NA,3,-2,3.6666666666666665,4,7000,8.853808274977197,0
B17182N,0,5,5,2,3182,2,2,1,4,4,4,4,3,4,4,1,4,4,1,0,4,31,20,2,9,2,-1.16,48,2,4,NA,NA,-2,NA,0,4,1,0,2,4,NA,31,20,2,3,-1.3498779339254714,0.21748241724011236,-0.5661977583426795,NA,NA,NA,4,-2,4,4,3182,8.065579427282092,0
B17183P,3,4,2,1,42000,2,2,1,4,3,3,3,4,4,3,2,4,3,1,0,5,25,20,1,8,2,0.52,54,3,4,NA,NA,NA,NA,3,4,1,0,1,3,NA,25,20,2,3,0.39719669810105007,0.723543026696293,0.5603698623986715,NA,NA,NA,4,NA,3,3.5,42000,10.645448706505872,1
B17186S,0,4,8,NA,80000,2,1,1,4,3,3,3,3,3,3,2,3,3,1,1,5,33,30,1,4,1,0.76,65,6,1,0.41,4,11,42,0,4,1,0,1,0,2,33,30,1,2,0.6467787883905531,1.6513208106992907,1.149049799544922,0.36224786103544016,0.3761288356724144,0.3691883483539273,1,11,3,3,80000,11.289794413577894,NA
B17190N,1,2,2,1,41040,2,2,1,2,4,4,3,3,4,3,2,2,4,1,1,5,25,25,1,5,0,-1.16,29,5,NA,-0.39,NA,6,NA,1,2,1,0,1,1,NA,25,25,0,1,-1.3498779339254714,-1.385042846037793,-1.3674603899816322,-0.45899132557969585,NA,NA,NA,6,3.6666666666666665,2.5,41040,10.62232684601953,1
B17191P,1,2,8,NA,NA,9,2,1,2,4,3,2,3,3,3,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,7,30,1,2,1,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6739090123344468,NA,4,7,3,3.5,NA,NA,NA
B17193R,2,4,2,1,15000,2,1,2,4,4,3,3,4,3,4,2,3,4,2,2,7,29,27,1,7,1,NA,NA,5,1,NA,5,11,56,2,4,2,1,-1,1,1,29,27,1,2,NA,NA,NA,NA,1.601172991680419,NA,1,11,3.3333333333333335,3.5,15000,9.61587214452889,1
B17195T,2,4,2,1,NA,9,7,2,4,4,4,3,3,5,4,2,3,2,2,4,8,25,22,1,7,1,1.71,67,6,NA,NA,NA,NA,NA,2,4,2,1,-2,0,NA,25,22,1,2,1.634707895786503,1.8200076805180176,1.7273577881522604,NA,NA,NA,NA,NA,3.6666666666666665,3.5,NA,NA,1
B17200X,0,2,8,NA,2166,5,2,1,2,4,4,4,4,4,4,2,2,4,NA,NA,7,23,21,1,5,1,-0.44,47,3,1,NA,NA,-2,NA,0,2,1,0,-1,3,NA,23,21,1,2,-0.6011316630569623,0.13313898233074895,-0.23399634036310668,NA,NA,NA,1,-2,4,3,2166,7.681099001536359,NA
B17201Y,1,1,3,NA,NA,4,2,1,0,5,5,2,4,5,4,1,5,4,1,3,5,33,33,1,7,0,-0.28,39,3,5,NA,3,-2,NA,1,0,1,0,1,3,3,33,33,0,1,-0.4347436028639603,-0.5416084969441586,-0.48817604990405944,NA,NA,NA,5,-2,4,4.5,NA,NA,NA
B17203A,0,4,8,3,NA,4,2,2,1,2,2,3,4,3,3,2,4,3,2,0,5,39,NA,1,5,0,NA,NA,5,NA,NA,NA,-2,NA,0,1,2,1,1,1,NA,39,NA,0,1,NA,NA,NA,NA,NA,NA,NA,-2,2.3333333333333335,3.5,NA,NA,0
B17204B,0,5,2,1,38000,2,2,1,4,4,4,3,2,5,3,1,3,3,1,0,5,29,27,1,2,1,0.04,54,NA,NA,0.01,NA,1,34,0,4,1,0,1,NA,NA,29,27,1,2,-0.10196748247795612,0.723543026696293,0.3107877721091684,-0.04837173227212782,-0.3238963963321597,-0.18613406430214377,NA,1,3.6666666666666665,3,38000,10.545367754151743,1
B17205C,0,4,2,1,34000,5,2,1,4,3,3,3,3,4,4,2,2,4,1,0,6,30,26,1,5,1,NA,NA,5,2,NA,NA,-2,NA,0,4,1,0,0,1,NA,30,26,1,2,NA,NA,NA,NA,NA,NA,2,-2,3,3,34000,10.434145214930487,1
B17207E,2,4,2,1,34000,2,2,2,4,5,4,3,4,4,3,2,4,4,NA,NA,5,23,20,1,8,1,-0.12,48,4,3,NA,NA,NA,NA,2,4,2,1,1,2,NA,23,20,1,2,-0.26835554267095824,0.21748241724011236,-0.02543656271542294,NA,NA,NA,3,NA,4,3.5,34000,10.434145214930487,1
B17209G,2,4,2,1,1800,3,2,2,4,5,5,2,3,4,4,2,4,4,2,0,4,21,21,3,10,0,-0.44,49,4,2,NA,5,-2,NA,2,4,2,1,2,2,1,21,21,0,1,-0.6011316630569623,0.3018258521494758,-0.14965290545374324,NA,NA,NA,2,-2,4,4,1800,7.496097345175956,1
B17210Z,2,4,2,1,NA,1.2,2,1,4,4,5,5,5,5,5,1,1,5,NA,NA,5,32,23,1,5,1,0.6,59,3,2,NA,3,-2,NA,2,4,1,0,1,3,3,32,23,1,2,0.4803907281975511,1.1452602012431101,0.8128254647203306,NA,NA,NA,2,-2,4.666666666666667,3,NA,NA,1
B17211A,2,5,2,1,963,2,2,2,5,4,4,3,4,4,4,2,4,3,2,2,8,31,22,2,9,2,-0.84,44,6,2,NA,5,5,35,2,4,2,1,-2,0,1,31,22,2,3,-1.0171018135394676,-0.11989132239734138,-0.5684965679684045,NA,-0.23639324233158795,NA,2,5,3.6666666666666665,4,963,6.871091294610546,1
B17212B,2,4,2,1,85000,1.1,2,2,4,4,4,3,3,5,4,1,3,2,2,0,7,23,23,1,3,0,1.87,62,NA,NA,0.88,5,12,NA,2,4,2,1,-1,NA,1,23,23,0,1,1.8010959559795052,1.3982905059712005,1.5996932309753529,0.8447258831718326,NA,NA,NA,12,3.6666666666666665,3.5,85000,11.350418300109132,1
