bcsid,bd9totce,bd9hnvq,bd9ms,bd9partp,b9groa,b9cns8,b9ten,b9cmsex,hinvq00,wm1,wm2,wm3,wm4,wm5,c1,c2,c3,c4,b11sex,bd11nochh,bd1psoc,bd1mage,bd1agefb,bd1cntry,bd1regn,a0166,bd3read,bd3maths,bd3psoc,bd3inc,bd4read,bd4psoc,bd4mal,mathscore,y,d,sex_raw,female,soc_birth,soc_10,soc_16,mage,mage_fb,parity,birth_order,read_10_z,math_10_z,cog_10,vocab_16_z,math_16_z,cog_16,inc_10,malaise_16,m_trad_gender,m_profamily,m_earnings,m_log_earn,m_partner
B10001N,2,4,2,1,NA,9,1,2,4,4,4,3,4,4,4,2,1,3,2,2,6,34,17,1,8,4,0.44,51,5,5,NA,3,-2,NA,2,4,2,1,0,1,3,34,17,4,5,0.31400266800454907,0.4705127219682027,0.39225769498637586,NA,NA,NA,5,-2,3.6666666666666665,2.5,NA,NA,1
B10003Q,3,2,2,1,2200,6,1,1,2,2,4,3,3,5,4,1,2,3,1,3,5,21,18,3,10,1,0.36,50,3,4,NA,NA,-2,NA,3,2,1,0,1,3,NA,21,18,1,2,0.230808637908048,0.38616928705883924,0.3084889624834436,NA,NA,NA,4,-2,3,3,2200,7.696667081526462,1
B10004R,2,4,2,1,NA,9,1,2,3,2,2,3,4,5,4,2,1,2,2,1,7,25,22,1,2,1,1.08,53,2,4,0.33,6,16,NA,2,3,2,1,-1,4,0,25,22,1,2,0.9795549087765574,0.6391995917869295,0.8093772502817435,0.28012394237392657,NA,NA,4,16,2.3333333333333335,2.5,NA,NA,1
B10007U,2,2,3,3,748,6,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,748,6.618738983517219,0
B10009W,2,2,2,1,NA,4,2,1,2,4,4,3,3,5,4,2,4,4,1,1,7,26,18,1,6,1,1,55,4,1,NA,NA,-2,NA,2,2,1,0,-1,2,NA,26,18,1,2,0.8963608786800562,0.8078864616056565,0.8521236701428563,NA,NA,NA,1,-2,3.6666666666666665,4,NA,NA,1
B10011Q,2,3,2,NA,9000,3,2,2,3,2,4,4,4,5,4,1,2,5,2,2,7,18,18,1,5,0,NA,57,3,3,NA,3,-2,NA,2,3,2,1,-1,3,3,18,18,0,1,NA,0.9765733314243833,NA,NA,NA,NA,3,-2,3.3333333333333335,3,9000,9.105090961257085,NA
B10013S,2,2,2,1,947,3,2,2,0,4,4,3,3,4,4,3,4,3,2,2,5,30,28,1,2,1,-0.76,27,2,4,0.25,NA,NA,20,2,0,2,1,1,4,NA,30,28,1,2,-0.9339077834429665,-1.5537297158565198,-1.2438187496497433,0.19800002371241296,-1.5489405523401643,-0.6754702643138757,4,NA,3.6666666666666665,4,947,6.854354502255021,1
B10015U,1,4,8,3,25000,2,2,1,4,3,3,3,3,5,3,2,1,3,1,3,6,23,21,1,7,0,1.08,56,4,1,0.88,3,7,NA,1,4,1,0,0,2,3,23,21,0,1,0.9795549087765574,0.8922298965150198,0.9358924026457887,0.8447258831718326,NA,NA,1,7,3,2,25000,10.12667110305036,0
B10016V,3,4,2,1,4300,1.1,1,1,0,1,1,1,1,1,1,2,1,2,1,0,7,30,17,1,7,5,-2.2,23,NA,4,NA,NA,-2,NA,3,0,1,0,-1,NA,NA,30,17,5,6,-2.4314003251799856,-1.8911034554939736,-2.1612518903369797,NA,NA,NA,4,-2,1,1,4300,8.366602832783736,1
B10018X,4,1,2,1,NA,2,2,1,0,4,3,2,3,3,3,2,2,3,1,3,5,27,21,1,7,2,NA,NA,3,3,NA,3,-2,NA,4,0,1,0,1,3,3,27,21,2,3,NA,NA,NA,NA,NA,NA,3,-2,3,2.5,NA,NA,1
B10020R,2,2,2,1,1260,2,2,2,2,3,2,4,3,3,4,1,2,4,2,0,4,18,18,1,5,0,NA,37,1,4,NA,1,-2,NA,2,2,2,1,2,5,5,18,18,0,1,NA,-0.7102953667628854,NA,NA,NA,NA,4,-2,3,3,1260,7.13966033596492,1
B10021S,2,5,8,3,NA,9,2,2,4,5,4,3,3,5,4,2,3,3,2,2,8,26,26,1,5,0,NA,NA,6,0,NA,NA,NA,NA,2,4,2,1,-2,0,NA,26,26,0,1,NA,NA,NA,NA,NA,NA,0,NA,4,3.5,NA,NA,0
B10024V,1,4,2,NA,953,6,4,2,4,4,4,3,5,5,3,2,5,2,2,1,5,28,24,3,10,2,NA,35,1,4,NA,1,16,NA,1,4,2,1,1,5,5,28,24,2,3,NA,-0.8789822365816123,NA,NA,NA,NA,4,16,3.6666666666666665,4,953,6.860663671448287,NA
B10036Z,1,4,2,1,65000,1.1,2,1,4,3,2,3,3,4,4,2,2,3,1,2,8,27,27,1,5,0,NA,67,4,3,NA,4,7,NA,1,4,1,0,-2,2,2,27,27,0,1,NA,1.8200076805180176,NA,NA,NA,NA,3,7,2.6666666666666665,3,65000,11.082157933374816,1
B10037A,1,2,2,1,50,5,2,2,2,4,3,3,5,4,4,2,2,4,2,1,5,22,20,1,6,1,NA,NA,2,4,-0.15,NA,20,40,1,2,2,1,1,4,NA,22,20,1,2,NA,NA,NA,-0.212619569595155,0.20112252767127087,-0.005748520961942061,4,20,3.3333333333333335,3,50,3.9318256327243257,1
B10038B,4,4,2,1,NA,4,2,1,4,2,2,3,4,4,3,3,4,2,1,3,8,40,35,1,5,1,0.04,49,6,0,NA,6,-2,NA,4,4,1,0,-2,0,0,40,35,1,2,-0.10196748247795612,0.3018258521494758,0.09992918483575985,NA,NA,NA,0,-2,2.3333333333333335,3.5,NA,NA,1
B10040V,3,2,2,1,NA,4,2,2,2,2,3,3,4,3,4,4,3,2,2,2,6,20,20,1,5,0,1,50,5,0,NA,NA,NA,NA,3,2,2,1,0,1,NA,20,20,0,1,0.8963608786800562,0.38616928705883924,0.6412650828694477,NA,NA,NA,0,NA,2.6666666666666665,3.5,NA,NA,1
B10043Y,2,4,2,1,100000,1.1,2,1,4,4,3,3,3,4,4,2,4,4,1,1,5,26,21,1,5,2,NA,52,4,NA,NA,6,2,44,2,4,1,0,1,2,0,26,21,2,3,NA,0.5548561568775662,NA,NA,0.5511351436735579,NA,NA,2,3.3333333333333335,4,100000,11.51293546492023,1
B10050X,0,4,8,NA,29636,2,5,2,2,2,2,4,4,4,4,2,4,4,2,0,4,29,25,2,9,1,NA,48,3,4,NA,NA,-2,NA,0,2,2,1,2,3,NA,29,25,1,2,NA,0.21748241724011236,NA,NA,NA,NA,4,-2,2.6666666666666665,4,29636,10.296778859712584,NA
B10051Y,3,3,2,1,2100,1.1,2,1,3,2,4,3,4,4,4,2,4,3,NA,NA,5,26,19,1,5,3,0.36,47,2,2,0.09,NA,5,37,3,3,1,0,1,4,NA,26,19,3,4,0.230808637908048,0.13313898233074895,0.18197381011939848,0.03375218638938578,-0.06138693433044442,-0.013817373970529321,2,5,3,4,2100,7.650168700845001,1
B10053A,3,2,3,3,18500,6,4,1,2,5,4,2,3,5,4,2,2,4,1,2,4,42,22,2,9,5,0.68,59,4,4,0.09,3,6,56,3,2,1,0,2,2,3,42,22,5,6,0.5635847582940522,1.1452602012431101,0.8544224797685811,0.03375218638938578,1.601172991680419,0.8174625890349023,4,6,3.6666666666666665,3,18500,9.825580063659602,0
B10058F,0,3,8,3,330,5,4,2,3,4,4,3,3,5,4,2,5,5,2,0,5,29,27,3,10,0,0.68,43,3,4,1.99,0,3,NA,0,3,2,1,1,3,6,29,27,0,1,0.5635847582940522,-0.20423475730670482,0.1796750004936737,1.9841952546003339,NA,NA,4,3,3.6666666666666665,4.5,330,5.802118375377063,0
B10061A,0,2,8,3,2597,2,1,2,2,5,4,3,4,5,5,1,3,5,2,2,5,24,24,1,1,0,0.52,49,3,1,-0.54,NA,9,42,0,2,2,1,1,3,NA,24,24,0,1,0.39719669810105007,0.3018258521494758,0.3495112751252629,-0.6129736730700339,0.3761288356724144,-0.11842241869880976,1,9,4,4,2597,7.862497197230545,0
B10063C,4,4,2,1,38500,1.1,2,1,4,2,4,3,3,3,3,2,2,2,1,1,6,23,23,1,5,0,NA,NA,4,3,NA,5,-2,NA,4,4,1,0,0,2,1,23,23,0,1,NA,NA,NA,NA,NA,NA,3,-2,3,2.5,38500,10.55843949396453,1
B10064D,2,2,2,1,34000,2,2,1,2,4,3,3,3,4,4,2,3,4,1,2,5,37,22,1,5,4,-0.36,51,5,3,0.17,NA,2,39,2,2,1,0,1,1,NA,37,22,4,5,-0.5179376329604614,0.4705127219682027,-0.023712455496129325,0.11587610505089939,0.1136193736706991,0.11474773936079924,3,2,3.3333333333333335,3.5,34000,10.434145214930487,1
B10065E,3,1,2,1,NA,9,4,2,1,2,3,2,4,2,2,2,4,3,2,1,7,23,21,1,5,1,-1.96,38,5,4,0.25,5,0,53,3,1,2,1,-1,1,1,23,21,1,2,-2.181818234890482,-0.625951931853522,-1.403885083372002,0.19800002371241296,1.3386635296787037,0.7683317766955583,4,0,2.3333333333333335,3,NA,NA,1
B10066F,0,4,2,1,35000,2,2,1,4,2,2,4,1,4,2,2,5,2,1,0,5,24,24,3,10,0,NA,NA,3,3,NA,3,-2,NA,0,4,1,0,1,3,3,24,24,0,1,NA,NA,NA,NA,NA,NA,3,-2,2.6666666666666665,3.5,35000,10.463131911491967,1
B10068H,3,4,2,1,27000,2,2,2,0,2,2,3,3,3,2,3,2,3,2,2,5,31,26,1,2,1,0.92,50,NA,NA,-0.62,NA,22,NA,3,0,2,1,1,NA,NA,31,26,1,2,0.8131668485835553,0.38616928705883924,0.5996680678211972,-0.6950975917315474,NA,NA,NA,22,2.3333333333333335,2,27000,10.203629181337648,1
B10069J,2,4,2,1,1100,2,2,2,4,3,3,4,3,4,4,2,3,4,NA,NA,8,22,22,1,8,0,NA,NA,5,1,-0.39,5,19,NA,2,4,2,1,-2,1,1,22,22,0,1,NA,NA,NA,-0.45899132557969585,NA,NA,1,19,3.3333333333333335,3.5,1100,7.00397413672268,1
B10072D,2,3,2,1,50000,1.2,1,1,3,4,4,2,3,4,3,3,4,3,1,2,6,37,37,1,5,0,NA,40,NA,NA,NA,NA,-2,NA,2,3,1,0,0,NA,NA,37,37,0,1,NA,-0.4572650620347951,NA,NA,NA,NA,NA,-2,3.3333333333333335,3.5,50000,10.819798284210286,1
B10073E,2,2,2,1,4500,9,2,1,2,4,4,2,4,4,4,1,4,4,1,2,7,23,23,1,6,0,0.12,54,2,3,-1.42,4,1,NA,2,2,1,0,-1,4,2,23,23,0,1,-0.018773452381455096,0.723543026696293,0.35238478715741894,-1.5163367783466835,NA,NA,3,1,3.3333333333333335,4,4500,8.412054873292933,1
B10074F,2,2,2,1,NA,1,2,1,2,4,3,2,3,5,4,2,4,5,1,1,5,20,20,1,2,0,0.76,58,NA,NA,NA,NA,NA,NA,2,2,1,0,1,NA,NA,20,20,0,1,0.6467787883905531,1.0609167663337467,0.8538477773621499,NA,NA,NA,NA,NA,3,4,NA,NA,1
B10076H,1,4,2,1,11300,2,2,2,2,4,4,3,4,4,4,1,4,4,2,1,6,22,22,1,8,0,NA,NA,4,3,-0.94,5,11,44,1,2,2,1,0,2,1,22,22,0,1,NA,NA,NA,-1.0235932663776017,0.5511351436735579,-0.23622906135202193,3,11,3.6666666666666665,4,11300,9.332646496360152,1
B10078K,0,2,8,NA,2700,3,4,2,1,3,4,1,3,4,4,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,13,30,0,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6739090123344468,NA,8,13,2.6666666666666665,3.5,2700,7.901377353792616,NA
B10079L,4,2,2,NA,NA,4,2,1,0,5,3,1,2,5,2,1,1,1,NA,NA,5,26,26,1,6,0,NA,NA,3,4,-0.54,3,8,36,4,0,1,0,1,3,3,26,26,0,1,NA,NA,NA,-0.6129736730700339,-0.1488900883310162,-0.3809318807005251,4,8,3,1.5,NA,NA,NA
B10081E,2,4,2,1,3724,2,2,2,2,4,4,3,5,4,4,2,3,4,2,2,7,26,23,1,3,2,0.04,41,3,3,0.41,5,10,43,2,2,2,1,-1,3,1,26,23,2,3,-0.10196748247795612,-0.3729216271254317,-0.2374445548016939,0.36224786103544016,0.46363198967298613,0.41293992535421314,3,10,3.6666666666666665,3.5,3724,8.22282213081366,1
B10084H,0,3,8,NA,NA,9,4,1,3,5,4,2,1,4,2,2,4,3,1,0,5,33,27,1,1,1,0.04,40,2,4,NA,NA,-2,NA,0,3,1,0,1,4,NA,33,27,1,2,-0.10196748247795612,-0.4572650620347951,-0.27961627225637564,NA,NA,NA,4,-2,3.6666666666666665,3,NA,NA,NA
B10086K,1,3,8,NA,NA,1.1,7,1,3,3,3,3,3,4,4,2,2,4,NA,NA,7,36,36,1,5,0,NA,NA,5,8,-0.78,3,1,38,1,3,1,0,-1,1,3,36,36,0,1,NA,NA,NA,-0.8593454290545747,0.026116219670127342,-0.41661460469222367,8,1,3,3,NA,NA,NA
B10088M,1,4,8,3,2011,3,3,2,4,5,5,2,2,5,4,2,2,4,2,1,5,29,25,1,1,2,1.31,45,3,3,NA,NA,-2,NA,1,4,2,1,1,3,NA,29,25,2,3,1.218737745303998,-0.03554788748797794,0.59159492890801,NA,NA,NA,3,-2,4,3,2011,7.60688453121963,0
B10091G,0,3,8,3,NA,4,4,1,3,4,4,3,2,4,3,1,2,4,1,0,6,21,21,1,5,0,0.84,34,5,3,NA,NA,-2,NA,0,3,1,0,0,1,NA,21,21,0,1,0.7299728184870542,-0.9633256714909757,-0.11667642650196075,NA,NA,NA,3,-2,3.6666666666666665,2.5,NA,NA,0
B10092H,2,2,3,3,2500,7,2,1,2,4,3,3,4,4,4,3,2,2,NA,NA,5,32,32,1,5,0,NA,NA,3,3,0.01,3,5,37,2,2,1,0,1,3,3,32,32,0,1,NA,NA,NA,-0.04837173227212782,-0.06138693433044442,-0.05487933330128612,3,5,3.3333333333333335,3,2500,7.824445930877619,0
B10095L,0,1,8,NA,224,6,7,1,0,3,2,3,3,3,3,2,2,2,NA,NA,5,39,19,1,5,4,-0.6,41,3,4,NA,3,-2,NA,0,0,1,0,1,3,3,39,19,4,5,-0.7675197232499644,-0.3729216271254317,-0.570220675187698,NA,NA,NA,4,-2,2.6666666666666665,2.5,224,5.41610040220442,NA
B10096M,2,4,2,1,55000,1.2,2,1,4,2,2,3,3,4,4,2,1,3,1,2,5,31,20,2,9,1,-0.52,44,5,1,-0.31,NA,18,25,2,4,1,0,1,1,NA,31,20,1,2,-0.6843256931534634,-0.11989132239734138,-0.40210850777540236,-0.3768674069181822,-1.1114247823373056,-0.7441460946277438,1,18,2.3333333333333335,2.5,55000,10.915106645867503,1
B10097N,3,4,2,1,1838,3,2,2,2,5,4,3,4,5,2,2,3,4,2,3,5,36,24,1,4,4,0.2,43,4,3,NA,NA,NA,NA,3,2,2,1,1,2,NA,36,24,4,5,0.06442057771504596,-0.20423475730670482,-0.06990708979582944,NA,NA,NA,3,NA,4,2.5,1838,7.516977224604321,1
B10098P,0,2,8,NA,NA,8,1,1,2,3,3,4,3,3,2,2,3,2,1,0,3,22,22,1,8,0,-0.84,10,1,3,-1.57,2,NA,14,0,2,1,0,3,5,4,22,22,0,1,-1.0171018135394676,-2.9875681093156983,-2.002334961427583,-1.6703191258370216,-2.073959476343595,-1.8721393010903085,3,NA,3.3333333333333335,2.5,NA,NA,NA
B10099Q,2,4,2,1,NA,2,1,2,4,2,2,4,4,5,5,1,2,5,2,0,7,26,20,1,1,1,1.16,55,5,1,NA,NA,NA,NA,2,4,2,1,-1,1,NA,26,20,1,2,1.0627489388730584,0.8078864616056565,0.9353177002393575,NA,NA,NA,1,NA,2.6666666666666665,3.5,NA,NA,1
B10100Q,0,4,8,NA,5600,6,4,2,4,4,2,3,4,4,3,3,2,3,2,0,6,38,18,1,5,4,1.24,53,5,0,0.33,NA,15,47,0,4,2,1,0,1,NA,38,18,4,5,1.1459429689695595,0.6391995917869295,0.8925712803782445,0.28012394237392657,0.8136446056752732,0.5468842740245998,0,15,3,2.5,5600,8.630700432209832,NA
B10102S,1,1,3,NA,160,5,2,2,1,4,4,4,4,4,4,4,4,4,NA,NA,5,36,20,1,1,2,-0.44,46,3,4,-1.26,3,6,32,1,1,2,1,1,3,3,36,20,2,3,-0.6011316630569623,0.0487955474213855,-0.2761680578177884,-1.3520889410236563,-0.49890270433330325,-0.9254958226784797,4,6,4,4,160,5.081404364984463,NA
B10103T,2,5,3,NA,24000,2,2,2,5,1,1,5,5,1,2,3,5,1,2,1,5,33,31,1,5,1,0.04,44,NA,NA,NA,NA,NA,NA,2,4,2,1,1,NA,NA,33,31,1,2,-0.10196748247795612,-0.11989132239734138,-0.11092940243764875,NA,NA,NA,NA,NA,2.3333333333333335,3.5,24000,10.085850775128717,NA
B10108Y,3,4,2,1,500,2,2,2,4,2,3,3,3,4,4,2,4,3,2,3,7,24,24,1,1,0,1.71,65,5,2,1.28,5,10,39,3,4,2,1,-1,1,1,24,24,0,1,1.634707895786503,1.6513208106992907,1.643014353242897,1.2553454764794005,0.1136193736706991,0.6844824250750499,2,10,2.6666666666666665,4,500,6.2166061010848646,1
B10110S,0,3,2,1,384,6,2,1,3,3,4,2,2,4,4,2,2,3,1,0,5,26,26,1,5,0,1.08,60,3,3,NA,3,-2,NA,0,3,1,0,1,3,3,26,26,0,1,0.9795549087765574,1.2296036361524736,1.1045792724645156,NA,NA,NA,3,-2,3,3,384,5.953243334287785,1
B10114W,2,4,2,1,150000,1.1,4,1,4,4,4,3,3,4,1,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6666666666666665,3,150000,11.918397239722838,1
B10118A,3,3,3,3,30000,2,1,1,3,5,5,1,1,5,5,1,5,5,NA,NA,5,23,16,1,6,3,-1.56,32,3,2,NA,NA,-2,NA,3,3,1,0,1,3,NA,23,16,3,4,-1.7658480844079767,-1.1320125413097026,-1.4489303128588396,NA,NA,NA,2,-2,3.6666666666666665,5,30000,10.308985993422082,0
B10119B,2,2,2,1,11000,6,2,2,2,5,4,4,3,3,3,2,4,3,2,0,5,30,27,1,7,1,0.76,52,5,2,-0.7,6,12,40,2,2,2,1,1,1,0,30,27,1,2,0.6467787883905531,0.5548561568775662,0.6008174726340596,-0.777221510393061,0.20112252767127087,-0.2880494913608951,2,12,4.333333333333333,3.5,11000,9.305741456739435,1
B10120U,0,2,2,1,2328,1.2,2,1,2,3,3,3,3,2,3,3,3,3,1,0,6,31,26,1,5,2,1,62,5,0,NA,NA,-2,NA,0,2,1,0,0,1,NA,31,26,2,3,0.8963608786800562,1.3982905059712005,1.1473256923256283,NA,NA,NA,0,-2,3,3,2328,7.753194269884341,1
B10122W,1,5,8,NA,21000,2,2,2,5,3,3,3,3,4,3,2,3,3,2,1,2,20,20,3,10,0,NA,52,4,4,NA,NA,8,48,1,4,2,1,4,2,NA,20,20,0,1,NA,0.5548561568775662,NA,NA,0.9011477596758449,NA,4,8,3,3,21000,9.952325334619427,NA
B10124Y,2,4,1,3,36000,2,2,2,4,4,4,2,4,4,4,2,2,2,2,0,6,22,22,1,8,0,1.08,52,4,3,NA,4,-2,NA,2,4,2,1,0,2,2,22,22,0,1,0.9795549087765574,0.5548561568775662,0.7672055328270617,NA,NA,NA,3,-2,3.3333333333333335,3,36000,10.491301994830229,0
B10128C,3,4,2,1,NA,1.2,2,1,4,4,4,3,3,4,4,1,3,4,NA,NA,8,25,25,1,3,0,NA,70,5,3,NA,5,5,NA,3,4,1,0,-2,1,1,25,25,0,1,NA,2.073037985246108,NA,NA,NA,NA,3,5,3.6666666666666665,3.5,NA,NA,1
B10135B,1,2,2,1,NA,9,2,2,2,4,4,2,4,4,5,2,4,4,2,1,5,24,18,1,5,2,-0.76,36,4,4,-1.89,NA,18,19,1,2,2,1,1,2,NA,24,18,2,3,-0.9339077834429665,-0.7946388016722489,-0.8642732925576078,-1.9988148004830757,-1.6364437063407362,-1.8176292534119058,4,18,3.3333333333333335,4.5,NA,NA,1
B10136C,2,4,2,1,75000,1.1,2,1,4,3,5,3,5,5,5,1,2,5,1,2,5,29,25,1,5,2,NA,NA,5,2,NA,NA,-2,NA,2,4,1,0,1,1,NA,29,25,2,3,NA,NA,NA,NA,NA,NA,2,-2,3.6666666666666665,3.5,75000,11.225256725762893,1
B10139F,2,4,2,1,NA,9,2,2,4,4,3,3,3,4,4,1,3,3,NA,NA,6,29,24,1,1,2,-0.44,46,NA,1,NA,5,-2,NA,2,4,2,1,0,NA,1,29,24,2,3,-0.6011316630569623,0.0487955474213855,-0.2761680578177884,NA,NA,NA,1,-2,3.3333333333333335,3.5,NA,NA,1
B10144C,0,4,3,3,NA,8,2,1,2,4,3,3,5,3,4,1,3,3,1,0,5,29,18,1,2,3,-1.48,40,3,3,NA,NA,-2,NA,0,2,1,0,1,3,NA,29,18,3,4,-1.6826540543114756,-0.4572650620347951,-1.0699595581731354,NA,NA,NA,3,-2,3.3333333333333335,3.5,NA,NA,0
B10150A,5,2,2,1,432,6,4,2,2,3,4,2,4,3,3,2,2,2,2,3,5,19,19,1,2,0,-1.08,44,2,3,NA,NA,-2,NA,5,2,2,1,1,4,NA,19,19,0,1,-1.2666839038289706,-0.11989132239734138,-0.693287613113156,NA,NA,NA,3,-2,3,2.5,432,6.07073772800249,1
B10152C,0,5,8,3,35000,1.2,2,1,5,4,3,3,3,4,4,2,2,2,1,1,5,24,23,3,10,1,NA,59,3,3,NA,NA,NA,NA,0,4,1,0,1,3,NA,24,23,1,2,NA,1.1452602012431101,NA,NA,NA,NA,3,NA,3.3333333333333335,3,35000,10.463131911491967,0
B10155F,3,2,3,NA,220,7,4,2,2,4,4,2,2,4,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3333333333333335,3,220,5.3981627015177525,NA
B10158J,2,1,2,1,NA,5,2,1,0,2,3,1,3,4,4,2,4,4,1,0,6,23,21,1,4,1,-0.6,35,3,4,NA,NA,-2,NA,2,0,1,0,0,3,NA,23,21,1,2,-0.7675197232499644,-0.8789822365816123,-0.8232509799157883,NA,NA,NA,4,-2,2,4,NA,NA,1
B10159K,2,2,2,NA,NA,9,2,2,2,4,3,3,3,5,4,1,4,5,NA,NA,4,27,21,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,NA,NA,27,21,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3.3333333333333335,4,NA,NA,NA
B10161D,2,4,2,1,NA,4,2,2,4,3,3,3,3,2,1,1,2,2,2,2,5,20,19,3,10,1,NA,NA,1,4,-0.62,2,12,NA,2,4,2,1,1,5,4,20,19,1,2,NA,NA,NA,-0.6950975917315474,NA,NA,4,12,3,1.5,NA,NA,1
B10165H,1,2,2,1,45000,2,2,1,2,3,3,3,4,3,4,3,2,2,NA,NA,6,26,22,1,5,2,-0.68,33,4,2,NA,NA,NA,NA,1,2,1,0,0,2,NA,26,22,2,3,-0.8507137533464655,-1.0476691064003392,-0.9491914298734023,NA,NA,NA,2,NA,3,3,45000,10.714439990727769,1
B10168L,2,4,2,1,35430,2,2,1,4,5,4,2,3,5,5,2,2,4,1,1,5,27,25,1,3,1,0.6,55,4,NA,-2.29,NA,NA,52,2,4,1,0,1,2,NA,27,25,1,2,0.4803907281975511,0.8078864616056565,0.6441385949016037,-2.4094343937906437,1.251160375678132,-0.5791370090562559,NA,NA,3.6666666666666665,3.5,35430,10.47534242212957,1
B10169M,1,2,3,3,8200,3,4,2,2,5,4,2,3,5,5,1,5,4,2,1,4,25,23,1,1,1,-1.8,32,3,4,NA,NA,-2,NA,1,2,2,1,2,3,NA,25,23,1,2,-2.01543017469748,-1.1320125413097026,-1.5737213580035911,NA,NA,NA,4,-2,3.6666666666666665,5,8200,9.012011377036412,0
B10170E,2,4,3,3,3100,2,2,2,4,5,5,1,3,5,2,3,4,2,NA,NA,7,23,20,1,7,1,0.6,40,5,3,NA,5,-2,NA,2,4,2,1,-1,1,1,23,20,1,2,0.4803907281975511,-0.4572650620347951,0.011562833081377982,NA,NA,NA,3,-2,3.6666666666666665,3,3100,8.03947991910045,0
B10176L,6,2,8,3,1400,6,4,2,2,4,4,2,2,2,2,3,4,1,2,1,5,19,17,1,5,1,NA,NA,3,2,NA,NA,NA,NA,6,2,2,1,1,3,NA,19,17,1,2,NA,NA,NA,NA,NA,NA,2,NA,3.3333333333333335,3,1400,7.244941546337007,0
B10184L,2,3,2,NA,NA,4,2,1,3,4,2,3,3,3,3,2,3,2,1,0,4,23,19,1,3,1,0.68,48,2,2,NA,NA,-2,NA,2,3,1,0,2,4,NA,23,19,1,2,0.5635847582940522,0.21748241724011236,0.39053358776708225,NA,NA,NA,2,-2,3,3,NA,NA,NA
B10188Q,2,2,3,NA,NA,9,2,2,2,4,2,2,4,2,4,2,4,4,2,2,5,26,26,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,NA,NA,26,26,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2.6666666666666665,4,NA,NA,NA
B10189R,1,3,3,NA,905,6,2,2,3,4,2,2,3,3,3,2,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,3,7,30,1,3,2,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,0.28012394237392657,-0.6739090123344468,-0.1968925349802601,NA,7,2.6666666666666665,3,905,6.80903930604298,NA
B10190J,2,2,8,NA,9111,9,2,2,2,4,4,3,3,4,4,2,3,3,2,2,5,27,24,1,3,1,-0.12,55,4,4,NA,NA,NA,NA,2,2,2,1,1,2,NA,27,24,1,2,-0.26835554267095824,0.8078864616056565,0.2697654594673491,NA,NA,NA,4,NA,3.6666666666666665,3.5,9111,9.117347505127018,NA
B10192L,2,3,2,1,NA,4,2,2,3,2,2,2,4,4,3,3,2,3,NA,NA,6,31,25,1,1,2,NA,29,2,3,NA,1,-2,NA,2,3,2,1,0,4,5,31,25,2,3,NA,-1.385042846037793,NA,NA,NA,NA,3,-2,2,2.5,NA,NA,1
B10195P,2,3,2,1,12000,6,2,2,2,1,1,4,4,5,1,3,2,1,2,1,5,26,20,1,5,2,NA,NA,3,4,-0.54,NA,8,34,2,2,2,1,1,3,NA,26,20,2,3,NA,NA,NA,-0.6129736730700339,-0.3238963963321597,-0.4684350347010968,4,8,2,1.5,12000,9.392745258631441,1
B10198S,1,4,2,1,36000,2,2,2,4,3,3,3,3,4,3,3,3,3,2,1,6,26,26,1,1,0,0.36,54,5,NA,NA,4,-2,NA,1,4,2,1,0,1,2,26,26,0,1,0.230808637908048,0.723543026696293,0.47717583230217053,NA,NA,NA,NA,-2,3,3,36000,10.491301994830229,1
B10200T,2,1,2,1,28500,2,2,1,1,3,4,4,3,4,3,2,2,4,1,1,3,20,20,1,2,0,1,51,5,3,NA,4,-2,NA,2,1,1,0,3,1,2,20,20,0,1,0.8963608786800562,0.4705127219682027,0.6834368003241295,NA,NA,NA,3,-2,3.6666666666666665,2.5,28500,10.25769445336048,1
B10201U,0,5,8,3,44000,3,2,2,5,4,4,3,3,5,4,2,3,3,2,0,5,20,20,1,8,0,NA,NA,5,3,1.12,3,6,NA,0,4,2,1,1,1,3,20,20,0,1,NA,NA,NA,1.0910976391563734,NA,NA,3,6,3.6666666666666665,3.5,44000,10.691967639914864,0
