"country","raw_secular_belief","raw_secular_attend","ess_secular","raw_gender_wmcpwrk","raw_gender_mnrgtjb","ess_gender_egal","raw_creative","raw_free","raw_trad","raw_conform","ess_autonomy","ess_n_rounds","ess_n_respondents"
"Austria",5.21761866452131,5.37377500143275,6.44722004756976,3.25578231292517,2.28574827504164,2.7707652939834,4.51484846171464,4.98161989017694,4.27264402899659,3.61449765546929,1.6093266674257,8,17579
"Belgium",5.39638928364644,6.00657133845022,6.98860274071623,2.74765460463335,2.20783304745571,2.47774382604453,4.38658128533518,4.87202672349248,4.28061283262296,3.77278502945594,1.20521014674875,11,19045
"Croatia",4.18573756109788,4.81633162691972,5.53310565692016,3.26784544859201,2.56108745496233,2.91446645177717,4.22667925121913,4.7,4.65915492957746,3.71932032724984,0.548203994391823,5,8098
"Czechia",7.56843019099175,6.1883525444204,8.20446691293902,3.39609850581074,2.67729591836734,3.03669721208904,4.36820437031563,4.60283163400074,4.25538719656057,4.1491209376665,0.566527870089303,9,20090
"Denmark",5.86521950429288,5.85690031530439,7.11610997736386,2.28217929238116,1.65732154410179,1.96975041824148,4.63827868852459,4.85474494391223,4.30133398805139,4.03472107948001,1.15696856490541,8,12408
"Estonia",6.54242457852706,5.86471108164844,7.46029163329813,3.36712691507471,2.49650828426675,2.93181759967073,3.97746665064295,4.76556426051073,3.98884290084578,3.6529875443769,1.101200465931,10,18149
"Finland",4.97223410830598,5.75418782328098,6.5962512136394,2.54431216931217,1.8752976563479,2.20980491283004,4.34680451127819,4.81000552791598,3.9412902869147,4.01897858684226,1.19654116543721,11,21095
"Greece",3.33221762814195,4.48515824651071,4.86979327586434,3.38059178235873,3.18845453271682,3.28452315753778,4.63669209152951,4.93309802663244,4.96456913827652,4.07503223726628,0.530188742619156,6,15315
"Hungary",5.85381253035452,5.71497844827586,7.00903372823145,3.38605064415815,3.18775644181849,3.28690354298832,4.48177476118654,4.85175372192784,4.47916666666667,3.60270338554827,1.25165843089944,11,18760
"Latvia",6.17150706436421,5.68257383141013,7.1447348403322,3.56701030927835,2.50761154855643,3.03731092891739,4.23916083916084,5.04710397766923,4.59581151832461,3.64742917103883,1.04302412746663,4,5173
"Norway",6.3196589075824,5.89618461184324,7.37138989082209,2.52506213753107,1.71753094156351,2.12129653954729,4.44617405582923,4.52691701680672,4.00788177339901,4.17362709634988,0.791582202887049,11,17402
"Poland",3.80339612629344,3.96317849962967,4.73253984859648,3.47412925307027,2.67039782181214,3.0722635374412,4.14202728281445,4.85560246833388,4.82194885076076,4.52855089507384,-0.352869994686273,11,19131
"Portugal",4.42753623188407,4.96258145890267,5.75846915801537,3.4649286157666,2.4691629955947,2.96704580568065,4.22088421528718,4.50028200789623,4.14832967156779,3.66776278489625,0.905073766719372,11,19254
"Romania",3.24242424242424,4.61454372623574,4.91731478280908,3.37941176470588,2.94348041646009,3.16144609058299,4.3309591642925,4.35765379113019,4.6937321937322,4.52396772662554,-0.529086964935047,1,2146
"Serbia",4.11856599238935,5.13533386327504,5.7273786128197,NA,NA,NA,4.31943031536114,4.5481444332999,4.80717488789238,4.08232323232323,-0.0219233715545695,3,5111
"Slovakia",3.98947284472447,4.66941232377633,5.33003093934533,3.28775834658187,2.86469889064976,3.07622861861582,4.3090990990991,4.61124100719424,4.59971254042401,4.38036311083009,-0.0597355449607591,8,12734
"Slovenia",5.29144755051204,5.28404589536949,6.42004227194851,3.04553328384064,2.20190156599554,2.62371742491809,4.58823084486802,5.06131826741996,4.48960373662801,3.91036414565826,1.2495812300017,11,14732
"Spain",5.73834515366427,5.57530106257379,6.85153047867056,3.29348366771679,2.05829372029024,2.67588869400352,4.51690707022936,4.89371980676329,4.33443104969127,3.92138439581351,1.15481143148787,11,21296
"Sweden",6.74912081092258,5.97150806326962,7.63992330779673,2.43430656934306,1.67862944912124,2.05646800923215,4.47673703627795,4.67864462358245,3.84647954654101,3.62666300918941,1.68223910412997,11,19446
"Türkiye",2.93328618576143,4.64037780401417,4.78119866717655,3.84632627646326,3.8304836345872,3.83840495552523,4.57026827467389,4.78061224489796,5.0422195416164,4.74370764762827,-0.435046669672815,2,4272
